province,type_property,property_id,subtype_property,postal_code,city,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,distance_from_train_stations_by_foot,distance_from_elementary_school_by_foot,distance_from_high_school_by_foot
brabant_wallon,house,vbe35062,residence,1457,walhain,625000.0,normal,fuel_oil,north_east,14.0,C,50.617355,4.697802,4,5.0,2,3,1,1,1,0,no_flooding_area,3900.0,400.0,4300.0
brabant_wallon,house,vbe35058,residence,1340,ottignies_louvain_la_neuve,499000.0,normal,not_specified,not_specified,15.0,D,50.653613,4.5569281,4,3.0,2,2,1,1,1,0,no_flooding_area,1500.0,359.0,980.0
brabant_wallon,house,vbe35057,residence,1480,tubize,165000.0,not_specified,not_specified,south,100.0,G,50.69054,4.2026,4,2.0,1,0,0,0,1,0,(information_not_available),527.0,377.0,2.0
brabant_wallon,house,vbe35052,residence,1460,ittre,787000.0,normal,fuel_oil,north,18.0,E,50.6494299,4.2494515,4,4.0,2,3,1,1,0,1,no_flooding_area,6700.0,1300.0,5700.0
brabant_wallon,house,vbe34934,residence,1410,waterloo,545000.0,excellent,gas,not_specified,15.0,C,50.71469,4.3991,3,3.0,2,2,1,1,0,0,possible_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe34876,villa,1330,rixensart,695000.0,normal,gas,not_specified,15.0,B,50.7215821,4.5333085,4,5.0,3,3,1,1,1,0,no_flooding_area,1400.0,687.0,1600.0
brabant_wallon,house,vbe34842,residence,1332,genval,1090000.0,excellent,not_specified,not_specified,32.0,A+,50.7211,4.49388,4,6.0,3,4,1,1,1,1,no_flooding_area,2300.0,335.0,957.0
brabant_wallon,house,vbe34807,residence,1495,tilly,785000.0,normal,fuel_oil,south,310.0,B,50.56052,4.55491,4,4.0,3,3,1,1,1,0,no_flooding_area,539.0,501.0,9400.0
brabant_wallon,apartment,vbe34786,penthouse,1420,braine_l_alleud,790000.0,excellent,gas,not_specified,17.0,not_specified,50.6969022,4.3538379,4,3.0,2,2,1,0,0,0,no_flooding_area,2700.0,860.0,2300.0
brabant_wallon,house,vbe34785,villa,1420,braine_l_alleud,925000.0,excellent,gas,not_specified,24.0,not_specified,50.6969022,4.3538379,4,5.0,3,4,1,1,1,0,no_flooding_area,2700.0,860.0,2300.0
brabant_wallon,house,vbe34770,residence,1410,waterloo,579000.0,normal,gas,south_west,22.0,C,50.6375608,5.5610896,3,4.0,2,3,1,1,0,0,no_flooding_area,558.0,459.0,168.0
brabant_wallon,house,vbe34769,residence,1420,braine_l_alleud,579000.0,normal,gas,south_west,22.0,C,50.6980438,4.3678579,3,4.0,2,3,1,1,0,0,no_flooding_area,1900.0,1200.0,1700.0
brabant_wallon,house,vbe34691,villa,1420,braine_l_alleud,850000.0,normal,electricity,not_specified,37.0,E,50.6969022,4.3538379,4,5.0,4,0,1,1,0,0,no_flooding_area,2700.0,860.0,2300.0
brabant_wallon,apartment,vbe34688,apartment,1410,waterloo,310000.0,excellent,not_specified,east,10.0,B,50.71469,4.3991,2,1.0,1,1,1,0,0,0,no_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe34687,villa,1325,chaumont_gistoux,860000.0,normal,fuel_oil,not_specified,21.0,C,50.67687,4.71943,4,4.0,2,2,1,1,0,0,(information_not_available),9000.0,369.0,8600.0
brabant_wallon,house,vbe34638,residence,1300,wavre,325000.0,to_be_renovated,gas,not_specified,11.0,F,50.6960315,4.5751569,4,4.0,1,2,1,1,0,0,no_flooding_area,504.0,131.0,411.0
brabant_wallon,apartment,vbe34608,apartment,1490,court_saint_etienne,485000.0,excellent,gas,not_specified,16.0,B,50.6422504,4.5680813,3,3.0,1,1,1,1,0,0,no_flooding_area,499.0,452.0,412.0
brabant_wallon,house,vbe34572,residence,1340,ottignies_louvain_la_neuve,430000.0,to_be_renovated,fuel_oil,not_specified,180.0,G,50.6647976,4.5817047,4,3.0,1,2,0,1,1,0,(information_not_available),1700.0,622.0,855.0
brabant_wallon,house,vbe34566,villa,1430,rebecq,875000.0,excellent,fuel_oil,not_specified,50.0,B,50.665625,4.132162,4,6.0,3,4,1,1,0,1,no_flooding_area,3800.0,275.0,6100.0
brabant_wallon,apartment,vbe34554,apartment,1490,court_saint_etienne,314000.0,new,not_specified,east,90.0,not_specified,50.6422504,4.5680813,0,2.0,1,1,1,0,0,0,(information_not_available),499.0,452.0,412.0
brabant_wallon,house,vbe34465,villa,1470,bousval,1230000.0,new,electricity,south_west,323.0,A+,50.63462335,4.52756116,4,6.0,2,3,1,1,1,0,(information_not_available),4400.0,2500.0,3300.0
brabant_wallon,house,vbe34350,villa,1380,lasne,1270000.0,normal,gas,not_specified,12.0,not_specified,50.68736,4.48135,4,4.0,3,2,1,0,1,1,no_flooding_area,5200.0,527.0,4100.0
brabant_wallon,house,vbe34346,residence,1330,rixensart,715000.0,normal,gas,south_west,18.0,D,50.7224109,4.5301631,4,5.0,3,4,1,1,1,0,no_flooding_area,1500.0,802.0,1700.0
brabant_wallon,house,vbe34311,residence,1420,braine_l_alleud,485000.0,normal,gas,not_specified,11.0,B,50.6645955,4.3467254,2,4.0,1,1,1,1,0,0,no_flooding_area,3400.0,397.0,2700.0
brabant_wallon,house,vbe34310,residence,1421,ophain_bois_seigneur_isaac,485000.0,normal,gas,not_specified,11.0,B,50.6645955,4.3467254,2,4.0,1,1,1,1,0,0,no_flooding_area,3400.0,397.0,2700.0
brabant_wallon,house,vbe34209,residence,1301,bierges,30000.0,normal,gas,not_specified,181.0,E,50.7099121,4.5963893,4,3.0,1,2,1,1,1,0,(information_not_available),391.0,1000.0,1100.0
brabant_wallon,house,vbe34202,residence,1420,braine_l_alleud,135000.0,not_specified,gas,not_specified,124.0,D,50.6969022,4.3538379,2,2.0,1,0,0,1,0,0,(information_not_available),2700.0,860.0,2300.0
brabant_wallon,apartment,rbw19087,apartment,1348,louvain_la_neuve,280000.0,normal,not_specified,not_specified,60.0,B,50.668081,4.6118324,2,1.0,1,1,0,0,0,0,(information_not_available),429.0,466.0,368.0
brabant_wallon,house,vbe34037,villa,1325,chaumont_gistoux,585000.0,normal,fuel_oil,not_specified,18.0,D,50.6869653,4.6883866,4,3.0,1,2,1,1,0,0,(information_not_available),6800.0,1100.0,6200.0
brabant_wallon,apartment,vbe34011,apartment,1410,waterloo,340000.0,excellent,not_specified,not_specified,13.0,B,50.71469,4.3991,2,1.0,1,1,0,0,0,0,no_flooding_area,1600.0,426.0,388.0
brabant_wallon,apartment,vbe34005,apartment,1370,jodoigne,149000.0,not_specified,gas,south_west,60.0,C,50.72324,4.87098,2,1.0,1,1,0,0,0,0,(information_not_available),2000.0,340.0,187.0
brabant_wallon,apartment,vbe33806,apartment,1360,perwez,250000.0,not_specified,gas,south_west,65.0,C,50.63308,4.789688,3,1.0,1,1,0,0,0,0,(information_not_available),12000.0,518.0,2100.0
